IDENTMENECOPA;ident_men;vag;nbvehic;marque;carbu;anvoi;expvoi1;expvoi2;expvoi3;expvoi4;provoi;protrav;km_auto;repar_auto;fraisvoi;persvoi;quivoi;apvoi;gravoi;recvoi;moisvoi;lieuvoi;acqvoi;crevoi;empvoi;apervoi;mcrevoi;ancvoi;repvoi;privoi;marque_d;numvehic;fraisvoi_d;repar_auto_d;mcrevoi_d;privoi_d;repvoi_d;dom;achat_auto;credit_achat;prix_auto;remb_cred_12;acq_neuf;acq_occaz;prix_neuf;prix_occaz;rep_neuf;rep_occaz;remb_neuf;remb_occaz
201100109;109;3;3;PEUGEOT 605;1;1993;1;0;1;0;;70;64;0;0;1;2;3;;2002;;;;;;;;;;;PEUGEOT 605;3;;;;;;0;;;;;;;;;;;;
201100110;110;4;1;C3 CITROEN;1;2005;0;0;1;0;;;;0;0;1;1;3;;2005;;;;;;;;;;;CITROEN C3;1;;;;;;0;;;;;;;;;;;;
201100111;111;6;1;RENAULT TWINGO;1;2003;1;1;1;0;30;70;400;287;0;1;1;3;;2003;;;;;;;;;;;RENAULT TWINGO;1;;287;;;;0;;;;;;;;;;;;
201100113;113;5;1;RENAULT CLIO;2;1995;1;0;1;0;;0;99999;0;0;1;1;3;;2011;2;3;2;3;;;;5;;500;RENAULT CLIO;1;;;;500;;0;1;;500;;;1;;500;0;;;0
201100114;114;3;2;CITROEN C5;2;2010;1;1;1;0;40;50;500;0;0;1;1;2;1;;;;;;;;;;;;CITROEN C5;1;;;;;;0;;;;;;;;;;;;
201100114;114;3;2;FIAT PUNTO;1;2010;1;0;1;0;;80;300;0;0;1;2;3;;2010;12;2;1;3;0;8000;;1;1000;9000;FIAT PUNTO;2;;;;9000;1000;0;1;;9000;;1;;9000;;;1000;0;
201100115;115;3;4;MAZDA 3 SPORT;2;2009;1;0;1;0;;5;850;0;0;1;2;3;;2009;;;;;;;;;;;MAZDA - GROUPE;1;;;;;;0;;;;;;;;;;;;
201100115;115;3;4;RENAULT CLIO;1;1990;1;1;1;0;20;60;320;400;70;1;3;3;;2009;;;;;;;;;;;RENAULT CLIO;2;70;400;;;;0;;;;;;;;;;;;
201100115;115;3;4;RENAULT CLIO;1;1997;1;0;1;0;;80;500;350;50;1;4;3;;2010;10;3;2;3;;;;5;;1500;RENAULT CLIO;3;50;350;;1500;;0;1;;1500;;;1;;1500;0;;;0
201100115;115;3;4;RENAULT MEGANE;1;2002;1;0;1;0;;50;232;419;50;1;1;3;;2007;;;;;;;;;;;RENAULT MEGANE;4;50;419;;;;0;;;;;;;;;;;;
201100117;117;3;2;PEUGEOT 308;2;2009;0;0;1;0;;;;0;300;3;;3;;2009;;;;;;;;;;;PEUGEOT 308;1;300;;;;;0;;;;;;;;;;;;
201100117;117;3;2;PEUGEOT 406;2;2000;0;0;1;0;;;;0;0;3;;3;;2000;;;;;;;;;;;PEUGEOT 406;2;;;;;;0;;;;;;;;;;;;
201100119;119;4;1;RENAULT SCENIC;2;2011;0;0;1;0;;;;0;0;1;1;3;;2011;1;2;1;3;0;21000;;1;9500;30500;RENAULT SCENIC;1;;;;30500;9500;0;1;;30500;;1;;30500;;;9500;0;
201100120;120;3;3;KANGOO;2;2005;1;0;1;0;;80;240;0;120;1;2;3;;2005;;;;;;;;;;;RENAULT KANGOO;1;120;;;;;0;;;;;;;;;;;;
201100120;120;3;3;PEUGEOT 207;2;2008;0;0;1;0;;;;0;120;1;3;3;;2009;;;;;;;;;;;PEUGEOT 207;2;120;;;;;0;;;;;;;;;;;;
201100120;120;3;3;PEUGEOT 3008;2;2008;1;0;1;0;;80;30;0;0;1;1;3;;2009;;;;;;;;;;;PEUGEOT 3008;3;;;;;;0;;;;;;;;;;;;
201100122;122;3;2;CLIO RENAULT;2;2006;1;0;1;0;;20;260;0;0;1;2;3;;2010;9;3;2;3;0;5550;;2;700;6250;RENAULT CLIO;1;;;;6250;700;0;1;;6250;;;1;;6250;700;;;0
201100122;122;3;2;PEUGEOT 306;2;2000;1;0;1;0;;51;290;200;0;1;1;3;;2009;;;;;;;;;;;PEUGEOT 306;2;;200;;;;0;;;;;;;;;;;;
201100123;123;3;3;306 PEUGEOT;2;1998;1;0;1;0;;95;300;1200;0;1;1;3;;2001;;;;;;;;;;;PEUGEOT 306;1;;1200;;;;0;;;;;;;;;;;;
201100123;123;3;3;CITOEN XM;2;2000;1;0;1;0;;95;350;0;150;1;2;3;;2009;;;;;;;;;;;CITROEN XM;2;150;;;;;0;;;;;;;;;;;;
201100123;123;3;3;TWINGO;1;2007;1;0;1;0;;80;200;0;0;1;3;3;;2010;9;3;2;3;;;;5;;4500;RENAULT TWINGO;3;;;;4500;;0;1;;4500;;;1;;4500;0;;;0
201100124;124;6;2;PEUGEOT 106;1;1995;1;0;1;0;;0;40;0;0;1;2;3;;2002;;;;;;;;;;;PEUGEOT 106;1;;;;;;0;;;;;;;;;;;;
201100124;124;6;2;PEUGEOT 306;2;1999;1;0;1;0;;0;730;0;290;1;1;3;;2002;;;;;;;;;;;PEUGEOT 306;2;290;;;;;0;;;;;;;;;;;;
201100125;125;5;2;OPEL CORSA;1;1999;0;0;1;0;;;;0;0;1;2;3;;2010;9;3;2;1;2000;0;600;5;0;1900;OPEL CORSA;1;;;600;1900;0;0;1;1;1900;600;;1;;1900;0;;;600
201100125;125;5;2;PEUGEOT PARTNER;2;2004;1;0;1;0;;50;70;400;0;1;1;3;;2008;;;;;;;;;;;PEUGEOT PARTNER;2;;400;;;;0;;;;;;;;;;;;
201100128;128;4;1;207 PEUGEOT;1;2007;0;0;1;0;;;;0;150;3;;3;;2007;;;;;;;;;;;PEUGEOT 207;1;150;;;;;0;;;;;;;;;;;;
